Date,Close,High,Low,Open,Volume
2021-06-04,439016.0,441063.0,437769.0,441063.0,1400
2021-06-07,434611.0,440598.0,433962.0,440598.0,1800
2021-06-08,434510.0,435458.0,429260.0,435393.0,1500
2021-06-09,433125.0,435750.0,431310.0,434718.0,1300
2021-06-10,427156.0,436618.0,427156.0,435120.0,134800
2021-06-11,430282.0,431351.0,428000.0,428558.0,1200
2021-06-14,425880.0,430407.0,423242.0,430407.0,2100
2021-06-15,426045.0,427852.0,424614.0,427440.0,1200
2021-06-16,425645.0,427584.0,422457.0,425495.0,1400
2021-06-17,420359.0,427231.0,417025.0,426946.0,1800
2021-06-18,412729.0,416335.0,409701.0,415847.0,1900
2021-06-21,417780.0,419177.0,414044.0,414843.0,1400
2021-06-22,418875.0,418875.0,415126.0,418010.0,1300
2021-06-23,413890.0,417000.0,413485.0,416750.0,1500
2021-06-24,415000.0,416864.0,413187.0,414781.0,1200
2021-06-25,419134.0,420389.0,414967.0,417416.0,1000
2021-06-28,416304.0,420965.0,415200.0,420421.0,1600
2021-06-29,417000.0,418868.0,414945.0,417100.0,1200
2021-06-30,418601.0,419265.0,415100.0,415236.0,1000
2021-07-01,421005.0,421491.0,417270.0,418708.0,1000
2021-07-02,420000.0,423427.0,419020.0,423427.0,1300
2021-07-06,416930.0,419066.0,414000.0,419066.0,1400
2021-07-07,419401.0,420505.0,415091.0,415581.0,1100
2021-07-08,411840.0,417572.0,411000.0,416268.0,1600
2021-07-09,422000.0,422300.0,414463.0,414768.0,1200
2021-07-12,420937.0,424304.0,418689.0,420711.0,1400
2021-07-13,419820.0,421525.0,418724.0,421011.0,1000
2021-07-14,418500.0,422061.0,418000.0,419806.0,1000
2021-07-15,421350.0,422103.0,417000.0,417336.0,900
2021-07-16,417601.0,421981.0,417113.0,421981.0,900
2021-07-19,410450.0,414230.0,407773.0,413133.0,1600
2021-07-20,416244.0,418481.0,409983.0,410308.0,1100
2021-07-21,420055.0,422688.0,417000.0,418550.0,1000
2021-07-22,417800.0,420248.0,417650.0,419971.0,900
2021-07-23,419000.0,421413.0,418220.0,418856.0,800
2021-07-26,419500.0,422000.0,418380.0,418380.0,1100
2021-07-27,422309.0,423000.0,417135.0,419810.0,1100
2021-07-28,418975.0,423461.0,418230.0,422250.0,1000
2021-07-29,420676.0,423209.0,419635.0,419635.0,1000
2021-07-30,418900.0,422914.0,418105.0,421770.0,900
2021-08-02,418695.0,424242.0,418287.0,420985.0,1200
2021-08-03,423706.0,425000.0,416965.0,420576.0,1100
2021-08-04,419962.0,422884.0,419743.0,421988.0,1000
2021-08-05,421306.0,424000.0,419000.0,421358.0,1100
2021-08-06,430160.0,430160.0,424103.0,424426.0,1300
2021-08-09,431881.0,434298.0,430486.0,433056.0,1600
2021-08-10,434610.0,435000.0,430470.0,432690.0,1200
2021-08-11,438160.0,439163.0,434655.0,434655.0,1300
2021-08-12,436545.0,439800.0,434846.0,439121.0,1100
2021-08-13,433124.0,437935.0,432057.0,437935.0,1200
2021-08-16,435370.0,435657.0,429462.0,432443.0,1300
2021-08-17,435610.0,437551.0,433136.0,434530.0,1000
2021-08-18,430651.0,436825.0,430651.0,435175.0,900
2021-08-19,428994.0,431976.0,427590.0,428190.0,1100
2021-08-20,430007.0,430543.0,427862.0,429605.0,800
2021-08-23,425000.0,432528.0,425000.0,432025.0,1000
2021-08-24,430700.0,431800.0,428000.0,430686.0,900
2021-08-25,432354.0,434423.0,429585.0,431705.0,800
2021-08-26,429715.0,433708.0,428957.0,433588.0,900
2021-08-27,430901.0,431500.0,429332.0,429873.0,700
2021-08-30,429720.0,431949.0,429134.0,431060.0,1000
2021-08-31,429900.0,431000.0,428706.0,429405.0,1000
2021-09-01,430000.0,433720.0,429000.0,431181.0,1000
2021-09-02,428640.0,431317.0,428000.0,429606.0,1000
2021-09-03,424201.0,428825.0,424201.0,428825.0,1400
2021-09-07,419851.0,428103.0,419500.0,424688.0,1800
2021-09-08,420719.0,421456.0,417925.0,419733.0,1100
2021-09-09,420285.0,421490.0,419136.0,420270.0,1000
2021-09-10,417954.0,421291.0,417942.0,421028.0,900
2021-09-13,420801.0,422523.0,417687.0,418510.0,1300
2021-09-14,416996.0,422500.0,416050.0,422300.0,1500
2021-09-15,419785.0,419998.0,416629.0,417358.0,900
2021-09-16,419120.0,420800.0,416215.0,420170.0,800
2021-09-17,416400.0,421124.0,415000.0,418705.0,1600
2021-09-20,416000.0,416000.0,409000.0,411704.0,1800
2021-09-21,412802.0,416571.0,411281.0,416571.0,1400
2021-09-22,412081.0,416762.0,411920.0,415671.0,900
2021-09-23,418390.0,420949.0,413700.0,414298.0,1100
2021-09-24,418101.0,420090.0,417561.0,418475.0,900
2021-09-27,420791.0,422203.0,418928.0,419638.0,900
2021-09-28,416580.0,423225.0,415395.0,419976.0,1000
2021-09-29,417165.0,419719.0,415301.0,417200.0,800
2021-09-30,411379.0,419735.0,411005.0,419311.0,1300
2021-10-01,414878.0,417653.0,410099.0,412915.0,1000
2021-10-04,412540.0,416804.0,411286.0,415146.0,1400
2021-10-05,418539.0,420959.0,411659.0,413313.0,900
2021-10-06,421900.0,421900.0,413662.0,416406.0,1100
2021-10-07,425431.0,428655.0,423516.0,424999.0,1200
2021-10-08,427765.0,428479.0,424000.0,425643.0,1300
2021-10-11,423000.0,429786.0,423000.0,427172.0,1600
2021-10-12,419596.0,424859.0,419000.0,423252.0,1100
2021-10-13,418402.0,422180.0,415265.0,417906.0,1200
2021-10-14,423648.0,427379.0,420750.0,420866.0,1200
2021-10-15,427701.0,429300.0,424945.0,429300.0,1200
2021-10-18,426189.0,428950.0,424001.0,428950.0,1500
2021-10-19,428105.0,429500.0,425841.0,429335.0,1300
2021-10-20,432495.0,433000.0,426111.0,428113.0,1700
2021-10-21,431680.0,434800.0,429436.0,432689.0,1400
2021-10-22,435722.0,436203.0,429715.0,431720.0,1500
2021-10-25,436401.0,437145.0,433064.0,435963.0,1800
2021-10-26,437890.0,439850.0,435446.0,437165.0,1900
2021-10-27,433050.0,439229.0,433050.0,437527.0,3200
2021-10-28,436250.0,436874.0,432516.0,434703.0,2400
2021-10-29,432902.0,436512.0,431714.0,435053.0,2100
2021-11-01,430944.0,435900.0,430522.0,434513.0,2300
2021-11-02,434245.0,434654.0,429800.0,434440.0,1700
2021-11-03,435020.0,435140.0,431164.0,433425.0,1400
2021-11-04,433102.0,438299.0,429880.0,436463.0,2000
2021-11-05,434000.0,437749.0,432114.0,434887.0,1700
2021-11-08,435200.0,445000.0,434752.0,439649.0,2800
2021-11-09,431680.0,437240.0,430099.0,435345.0,2100
2021-11-10,430602.0,433409.0,428940.0,431420.0,1700
2021-11-11,429202.0,434399.0,428694.0,431800.0,1400
2021-11-12,431575.0,432899.0,427664.0,432614.0,1200
2021-11-15,429302.0,434335.0,429079.0,432193.0,1800
2021-11-16,427702.0,431849.0,427120.0,429638.0,1500
2021-11-17,426198.0,429710.0,424201.0,427651.0,1800
2021-11-18,422702.0,428429.0,422223.0,428429.0,1600
2021-11-19,423374.0,424300.0,420000.0,422901.0,1600
2021-11-22,430100.0,432000.0,422535.0,425225.0,1900
2021-11-23,434921.0,435365.0,430100.0,432837.0,2400
2021-11-24,433333.0,437139.0,431497.0,434643.0,1500
2021-11-26,427833.0,429803.0,421091.0,424233.0,1600
2021-11-29,425260.0,432135.0,425000.0,429048.0,1900
2021-11-30,416876.0,426125.0,416546.0,423823.0,1900
2021-12-01,415660.0,424669.0,415000.0,421535.0,2000
2021-12-02,420566.0,422999.0,415526.0,417776.0,1200
2021-12-03,418676.0,426000.0,416100.0,421420.0,1700
2021-12-06,426200.0,428000.0,420000.0,423201.0,1700
2021-12-07,429830.0,431679.0,426200.0,430739.0,1300
2021-12-08,427405.0,432745.0,426000.0,430115.0,1200
2021-12-09,428402.0,430650.0,425414.0,428933.0,1300
2021-12-10,435000.0,435000.0,428402.0,431254.0,1600
2021-12-13,437730.0,439700.0,430932.0,435861.0,2100
2021-12-14,446104.0,446724.0,434981.0,436865.0,2200
2021-12-15,443702.0,447794.0,441611.0,445928.0,2500
2021-12-16,454550.0,454550.0,444655.0,447540.0,2200
